
--- Run started at 2025-11-19T14:26:13.682776 ---

Searching for PRY files in: C:\Users\Max\Github\proigia_definition
[SKIPPED] aandachtspunten_copd_aggregate.pry (contains ignored keyword)
[SKIPPED] aandachtspunten_copd_column_properties.pry (contains ignored keyword)
[SKIPPED] aandachtspunten_cvrm_aggregate.pry (contains ignored keyword)
[SKIPPED] aandachtspunten_cvrm_column_properties.pry (contains ignored keyword)
[SKIPPED] aandachtspunten_dm_aggregate.pry (contains ignored keyword)
[SKIPPED] aandachtspunten_dm_column_properties.pry (contains ignored keyword)
[SKIPPED] ab_stewardship_aggregate.pry (contains ignored keyword)
[SKIPPED] ab_stewardship_column_properties.pry (contains ignored keyword)
[SKIPPED] af_53530556_aggregate.pry (contains ignored keyword)
[SKIPPED] af_53530556_column_properties.pry (contains ignored keyword)
[SKIPPED] amc_selectierapport_cvrm_medzzo_column_properties.pry (contains ignored keyword)
[SKIPPED] analyse_medicatie_vvr_aggregate.pry (contains ignored keyword)
[SKIPPED] analyse_medicatie_vvr_column_properties.pry (contains ignored keyword)
[SKIPPED] artrose_53533295_aggregate.pry (contains ignored keyword)
[SKIPPED] atriumfibrilleren_aggregate.pry (contains ignored keyword)
[SKIPPED] atriumfibrilleren_column_properties.pry (contains ignored keyword)
[SKIPPED] berekende_risicoscore_hvz_53530008_aggregate.pry (contains ignored keyword)
[SKIPPED] berekende_risicoscore_hvz_53530008_column_properties.pry (contains ignored keyword)
[SKIPPED] bewegingsapparaat_53533295_aggregate.pry (contains ignored keyword)
[SKIPPED] bewegingsapparaat_53533295_column_properties.pry (contains ignored keyword)
[SKIPPED] bloedverdunners_aggregate.pry (contains ignored keyword)
[SKIPPED] bloedverdunners_column_properties.pry (contains ignored keyword)
[SKIPPED] cns_2018_aggregate.pry (contains ignored keyword)
[SKIPPED] cns_2018_column_properties.pry (contains ignored keyword)
[SKIPPED] contacten_per_icpc_column_properties.pry (contains ignored keyword)
[SKIPPED] controlelijst_cvrm_vvr_53530279_0492_0551_column_properties.pry (contains ignored keyword)
[SKIPPED] covid_19_vaccinatie_column_properties.pry (contains ignored keyword)
[SKIPPED] covid_19_versie_2021_aggregate.pry (contains ignored keyword)
[SKIPPED] covid_19_versie_2021_column_properties.pry (contains ignored keyword)
[SKIPPED] cvrm_2019_aggregate.pry (contains ignored keyword)
[SKIPPED] cvrm_2019_column_properties.pry (contains ignored keyword)
[SKIPPED] declaratierapport-53530467_column_properties.pry (contains ignored keyword)
[SKIPPED] dm_populatiemanagement_column_properties.pry (contains ignored keyword)
[SKIPPED] doelmatig_voorschrijven_aggregate.pry (contains ignored keyword)
[SKIPPED] doelmatig_voorschrijven_column_properties.pry (contains ignored keyword)
[SKIPPED] filter_v2_0_column_properties.pry (contains ignored keyword)
[SKIPPED] ggz_53530495_aggregate.pry (contains ignored keyword)
[SKIPPED] ggz_53530495_column_properties.pry (contains ignored keyword)
[SKIPPED] ggz_angst_depressie_indic_53533295_aggregate.pry (contains ignored keyword)
[SKIPPED] ggz_angst_depressie_indic_53533295_column_properties.pry (contains ignored keyword)
[SKIPPED] ggz_basis_jeugd_aggregate.pry (contains ignored keyword)
[SKIPPED] ggz_basis_jeugd_column_properties.pry (contains ignored keyword)
[SKIPPED] ggz_basis_volw_aggregate.pry (contains ignored keyword)
[SKIPPED] ggz_basis_volw_column_properties.pry (contains ignored keyword)
[SKIPPED] ggz_indicatoren_53533104_aggregate.pry (contains ignored keyword)
[SKIPPED] ggz_indicatoren_jeugd_53533104_aggregate.pry (contains ignored keyword)
[SKIPPED] ggz_indicatoren_jeugd_53533104_column_properties.pry (contains ignored keyword)
[SKIPPED] ggz_indigo_aggregate.pry (contains ignored keyword)
[SKIPPED] ggz_indigo_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_aero_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_copd_comorbidities_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_copd_tracker_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_covid19_vaccin_onderzoek_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_crescendo_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_ezef_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_surmount_column_properties.pry (contains ignored keyword)
[SKIPPED] gpri_verborgen_nierschade_column_properties.pry (contains ignored keyword)
[SKIPPED] hartfalen_aggregate.pry (contains ignored keyword)
[SKIPPED] hartfalen_column_properties.pry (contains ignored keyword)
[SKIPPED] hartfalen_53533295_aggregate.pry (contains ignored keyword)
[SKIPPED] hartfalen_53533295_column_properties.pry (contains ignored keyword)
[SKIPPED] incontinentie_53533295_aggregate.pry (contains ignored keyword)
[SKIPPED] incontinentie_53533295_column_properties.pry (contains ignored keyword)
[SKIPPED] indicatie_maagbescherming_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_astma_2023_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_astma_2023_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_astma_2024_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_astma_2024_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_copd_2023_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_copd_2023_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_copd_2024_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_copd_2024_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_dm_2023_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_dm_2023_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_dm_2024_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_dm_2024_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_hvz_2023_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_hvz_2023_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_hvz_2024_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_hvz_2024_pl_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_oz_2023_indic_aggregate.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_oz_2023_indic_column_properties.pry (contains ignored keyword)
[SKIPPED] ineen_ketenzorg_oz_2023_pl_column_properties.pry (contains ignored keyword)
